Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0098-BOWSO,Male,26.0,No,0.0,San Jose,95131.0,0.0,27.0,None,Yes,20.66,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0.0,557.82,1087.62,0.0
0100-DUVFC,Male,66.0,Yes,0.0,Wilmington,90744.0,3.0,70.0,None,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0.0,2764.3,10067.14,0.0
0103-CSITQ,Female,20.0,Yes,0.0,Modesto,95357.0,10.0,57.0,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0.0,456.57,6709.27,0.0
0104-PPXDV,Male,61.0,Yes,0.0,San Diego,92113.0,10.0,58.0,None,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0.0,1065.46,3933.78,0.0
0106-GHRQR,Male,24.0,No,0.0,Rancho Palos Verdes,90275.0,0.0,16.0,None,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0.0,411.36,1623.46,0.0
0106-UGRDO,Female,55.0,Yes,0.0,Kenwood,95452.0,3.0,69.0,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0.0,2657.88,10840.73,0.0
0107-WESLM,Male,32.0,No,0.0,West Point,95255.0,0.0,1.0,Offer E,Yes,31.77,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0.0,31.77,51.62,1.0
0107-YHINA,Male,59.0,No,0.0,Los Angeles,90062.0,0.0,1.0,None,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0.0,40.71,140.46,1.0
0111-KLBQG,Male,71.0,Yes,1.0,Morongo Valley,92256.0,9.0,32.0,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0.0,1019.52,3880.97,0.0
0112-QAWRZ,Male,49.0,Yes,2.0,Palo Verde,92266.0,8.0,16.0,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0.0,779.36,2221.56,0.0
0112-QWPNC,Male,61.0,Yes,0.0,Valyermo,93563.0,1.0,49.0,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0.0,1937.95,5997.3,1.0
0114-IGABW,Female,40.0,Yes,0.0,Cambria,93428.0,2.0,71.0,Offer A,No,0.0,No,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0.0,0.0,4145.9,0.0
0114-PEGZZ,Female,39.0,No,0.0,Round Mountain,96084.0,0.0,33.0,None,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0.0,1639.77,5285.27,0.0
0114-RSRRW,Female,21.0,Yes,0.0,Klamath,95548.0,9.0,10.0,Offer D,Yes,49.6,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0.0,496.0,683.75,0.0
0115-TFERT,Male,24.0,Yes,0.0,Fresno,93650.0,1.0,21.0,None,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120.0,761.46,3198.56,1.0
0117-LFRMW,Male,52.0,Yes,1.0,Angwin,94508.0,1.0,37.0,None,No,0.0,No,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0.0,0.0,1448.8,1.0
0121-SNYRK,Male,45.0,No,0.0,Redway,95560.0,0.0,50.0,Offer B,No,0.0,No,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0.0,0.0,1748.9,0.0
0122-OAHPZ,Female,29.0,No,0.0,San Diego,92122.0,0.0,7.0,None,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0.0,200.34,698.56,1.0
0123-CRBRT,Female,62.0,Yes,0.0,Monterey Park,91755.0,1.0,61.0,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,0.0,0.0,2878.59,8405.34,0.0
0125-LZQXK,Male,42.0,No,0.0,Big Oak Flat,95305.0,0.0,15.0,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,0.0,0.0,688.8,2242.75,1.0
0128-MKWSG,Female,51.0,No,2.0,Stevenson Ranch,91381.0,0.0,26.0,None,No,0.0,No,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,0.0,0.0,0.0,1147.0,0.0
0129-KPTWJ,Male,39.0,Yes,0.0,North Highlands,95660.0,9.0,72.0,None,Yes,33.22,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,0.0,0.0,2391.84,9139.19,0.0
0129-QMPDR,Male,64.0,Yes,0.0,La Puente,91746.0,1.0,44.0,None,Yes,27.4,No,No,No,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.5,865.05,0.0,0.0,1205.6,2070.65,0.0
0130-SXOUN,Male,55.0,No,0.0,Glenhaven,95443.0,0.0,66.0,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,36.02,40.0,3219.48,9200.36,0.0
0133-BMFZO,Female,40.0,No,0.0,Alhambra,91803.0,0.0,2.0,None,Yes,36.81,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0.0,73.62,255.27,1.0
0134-XWXCE,Female,76.0,No,0.0,Santa Monica,90403.0,0.0,44.0,None,Yes,7.72,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,17.91,0.0,339.68,3589.82,0.0
0136-IFMYD,Male,71.0,Yes,0.0,Los Angeles,90001.0,1.0,69.0,None,Yes,18.41,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,0.0,0.0,1270.29,8904.54,0.0
0137-UDEUO,Female,24.0,No,0.0,Stockton,95204.0,0.0,3.0,Offer E,Yes,25.75,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,0.0,0.0,77.25,141.0,1.0
0141-YEAYS,Female,77.0,No,0.0,Fallbrook,92028.0,0.0,27.0,None,Yes,2.97,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,0.0,0.0,80.19,2481.24,0.0
0142-GVYSN,Male,57.0,No,0.0,Randsburg,93554.0,0.0,26.0,Offer C,Yes,13.34,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,0.0,0.0,346.84,858.09,0.0
0147-ESWWR,Female,73.0,Yes,0.0,Atascadero,93422.0,9.0,39.0,None,Yes,20.15,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,0.0,0.0,785.85,4735.0,0.0
0148-DCDOS,Male,41.0,No,0.0,Planada,95365.0,0.0,25.0,None,Yes,34.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,0.0,0.0,872.0,3234.1,1.0
0151-ONTOV,Female,43.0,No,0.0,Moorpark,93021.0,0.0,1.0,Offer E,Yes,39.81,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,0.0,0.0,39.81,110.71,1.0
0156-FVPTA,Male,48.0,Yes,0.0,Solvang,93463.0,1.0,22.0,Offer D,Yes,27.24,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,0.0,0.0,599.28,1751.98,1.0
0164-APGRB,Female,56.0,No,0.0,Calistoga,94515.0,0.0,72.0,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0.0,0.0,3482.64,11979.34,0.0
0174-QRVVY,Male,21.0,Yes,2.0,San Marcos,92078.0,2.0,71.0,None,Yes,9.2,Yes,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.35,1847.55,0.0,0.0,653.2,2500.75,0.0
0177-PXBAT,Male,78.0,Yes,0.0,Desert Center,92239.0,7.0,33.0,None,Yes,25.15,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,0.0,0.0,829.95,4524.65,0.0
0178-SZBHO,Male,54.0,Yes,1.0,Tuolumne,95379.0,7.0,47.0,None,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,0.0,0.0,51.23,4068.68,0.0
0181-RITDD,Male,42.0,Yes,3.0,San Diego,92120.0,2.0,62.0,None,Yes,1.76,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,0.0,0.0,109.12,6934.77,0.0
0186-CAERR,Male,22.0,No,0.0,Auburn,95603.0,0.0,71.0,None,Yes,2.88,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,0.0,0.0,204.48,8514.03,0.0
0187-QSXOE,Male,71.0,Yes,0.0,Fresno,93725.0,8.0,7.0,None,Yes,41.97,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,605.45,0.0,0.0,293.79,899.24,0.0
0187-WZNAB,Female,56.0,Yes,2.0,Del Rey,93616.0,6.0,27.0,Offer C,Yes,46.66,No,Yes,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,0.0,0.0,1259.82,3232.17,0.0
0191-ZHSKZ,Male,80.0,No,0.0,Hawthorne,90250.0,0.0,30.0,None,Yes,38.61,No,Yes,DSL,5.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0.0,0.0,1158.3,3269.6,0.0
0193-ESZXP,Female,73.0,Yes,0.0,Oceano,93445.0,1.0,58.0,None,Yes,16.94,No,Yes,Fiber Optic,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,0.0,0.0,982.52,7188.02,1.0
0195-IESCP,Male,26.0,Yes,0.0,Armona,93202.0,1.0,10.0,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,82.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,0.0,100.0,20.2,975.5,1.0
0196-JTUQI,Female,59.0,No,0.0,Clarksburg,95612.0,0.0,9.0,None,Yes,9.27,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,0.0,0.0,83.43,717.28,0.0
0197-PNKNK,Female,47.0,Yes,1.0,Scotts Valley,95066.0,7.0,69.0,None,Yes,38.92,Yes,Yes,Fiber Optic,16.0,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,0.0,40.0,2685.48,8574.08,0.0
0201-OAMXR,Female,30.0,No,0.0,Mckinleyville,95519.0,0.0,70.0,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,0.0,0.0,714.7,8842.3,1.0
0203-HHYIJ,Male,62.0,No,0.0,Atherton,94027.0,0.0,25.0,Offer C,Yes,5.57,Yes,No,No,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.3,676.35,0.0,0.0,139.25,815.6,1.0
0206-OYVOC,Female,52.0,Yes,2.0,Huntington Beach,92649.0,1.0,46.0,Offer B,Yes,24.33,No,No,No,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.25,864.2,0.0,0.0,1119.18,1983.38,0.0
0207-MDKNV,Female,54.0,No,0.0,Daly City,94014.0,0.0,15.0,None,Yes,22.39,No,Yes,Fiber Optic,7.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,0.0,0.0,335.85,1918.6,1.0
0208-BPQEJ,Female,48.0,Yes,1.0,Middletown,95461.0,0.0,12.0,Offer D,Yes,8.25,No,No,No,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,198.1,0.0,0.0,99.0,297.1,0.0
0212-ISBBF,Female,51.0,No,0.0,Berkeley,94705.0,0.0,22.0,None,No,0.0,No,Yes,Cable,22.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,50.35,1098.85,0.0,0.0,0.0,1098.85,0.0
0214-JHPFW,Female,22.0,Yes,0.0,Lost Hills,93249.0,9.0,70.0,None,No,0.0,No,Yes,Cable,85.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,57.8,4039.3,1.01,0.0,0.0,4038.29,0.0
0215-BQKGS,Male,52.0,No,0.0,Garden Grove,92844.0,0.0,30.0,Offer C,Yes,24.73,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,84.3,2438.6,0.0,130.0,741.9,3310.5,0.0
